,公告ID,发布时间,标题,内容
0,10104,2023-11-20 20:28:00,藏品《野天鹅》开放寄售,童话区藏品《野天鹅》将于2023-11-20 20:28开放寄售。  《野天鹅》铸造数量：16610 《野天鹅》流通数量：16600 《野天鹅》销毁数量：10  以上藏品暂时为限价藏品，最高寄售限价为¥300。  敬请各位用户知悉！ 谢谢！
1,10103,2023-11-20 20:00:00,藏品《孔子》寄售限价调整,藏品《孔子》最高寄售限价将于2023-11-20 20:00调整为¥1200。  敬请各位用户知悉！ 谢谢！
2,10102,2023-11-20 19:28:12,《堆小隼》上新预告,Bigverse将于今日上新《堆小隼》。  每持有1份《堆武士》可优先兑换5份《堆小隼》（权益可叠加）。  兑换材料：1份《打火匣》可兑换5份《堆小隼》  白名单扫描时间：2023年11月20日20:30-21:00 （扫描会持续一段时间，为防止数据异常影响权益，请避免在扫描期间进行交易）  扫描完毕后《堆武士》限额调整至3000元  兑换时间：2023年11月20日21:30-22:30   敬请各位用户知悉！ 谢谢！
3,10101,2023-11-20 18:48:00,藏品《堆武士》寄售限价调整,藏品《堆武士》最高寄售限价将于2023-11-20 18:48调整为¥4000。  敬请各位用户知悉！ 谢谢！
4,10099,2023-11-20 18:30:00,藏品《墨子》合成公告,藏品《墨子》即将开始合成！  合成材料：《雪梨屋》*3  合成时间：2023年11月20日19:30-20:30  《墨子》合成结束后将会安排惊喜活动。  未参与合成的《雪梨屋》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
5,10100,2023-11-20 18:15:00,藏品《皇帝的新装》开放寄售,童话区藏品《皇帝的新装》将于2023-11-20 18:15开放寄售。  《皇帝的新装》铸造数量：1000 《皇帝的新装》流通数量：1000 《皇帝的新装》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥5000。  敬请各位用户知悉！ 谢谢！
6,10097,2023-11-20 17:40:00,《雪梨屋》展示区变更,《雪梨屋》将进入推荐区！  敬请各位用户知悉！谢谢！
7,10098,2023-11-20 17:08:00,藏品《雪梨屋》寄售限价调整,藏品《雪梨屋》最高寄售限价将于2023-11-20 17:08调整为¥1500。  敬请各位用户知悉！ 谢谢！
8,10096,2023-11-20 17:03:00,藏品《椰子屋》开放寄售,童话区藏品《椰子屋》将于2023-11-20 17:03开放寄售。  《椰子屋》铸造数量：15030 《椰子屋》流通数量：14920 《椰子屋》销毁数量：110  以上藏品暂时为限价藏品，最高寄售限价为¥200。  敬请各位用户知悉！ 谢谢！
9,10095,2023-11-20 16:52:00,藏品《金黄的宝贝》合成公告,藏品《金黄的宝贝》即将开始合成！  合成材料：《约丽丹和约雷德尔》*1+《打火匣》*1合成《金黄的宝贝》*3  合成时间：2023年11月20日18:00-20:00  未参与合成的《约丽丹和约雷德尔》将变为仅供收藏，等待后续置换。  《金黄的宝贝》开放寄售后，届时限额666元。  敬请各位用户知悉！ 谢谢！
